Store,Date,Amount,Currency
4010,1/14/2024,0,PEN
4010,1/15/2024,0,PEN
4010,1/16/2024,0,PEN
4010,1/17/2024,0,PEN
4010,1/18/2024,0 ,PEN
4010,1/19/2024,0,PEN
4010,1/20/2024,0,PEN
4011,1/14/2024,0,PEN
4011,1/15/2024,0,PEN
4011,1/16/2024,0,PEN
4011,1/17/2024,0,PEN
4011,1/18/2024,0,PEN
4011,1/19/2024,0,PEN
4011,1/20/2024,0,PEN
4103,1/14/2024,0,PEN
4103,1/15/2024,0,PEN
4103,1/16/2024,0,PEN
4103,1/17/2024,0,PEN
4103,1/18/2024,0,PEN
4103,1/19/2024,0,PEN
4103,1/20/2024,0,PEN
7105,1/14/2024,0,PEN
7105,1/15/2024,0,PEN
7105,1/16/2024,0,PEN
7105,1/17/2024,0,PEN
7105,1/18/2024,0,PEN
7105,1/19/2024,0,PEN
7105,1/20/2024,0,PEN
7187,1/14/2024,0,PEN
7187,1/15/2024,0,PEN
7187,1/16/2024,0,PEN
7187,1/17/2024,0,PEN
7187,1/18/2024,0,PEN
7187,1/19/2024,0,PEN
7187,1/20/2024,0,PEN
7296,1/14/2024,0,PEN
7296,1/15/2024,0,PEN
7296,1/16/2024,0,PEN
7296,1/17/2024,0,PEN
7296,1/18/2024,0,PEN
7296,1/19/2024,0,PEN
7296,1/20/2024,0,PEN
7738,1/14/2024,0,PEN
7738,1/15/2024,0,PEN
7738,1/16/2024,0,PEN
7738,1/17/2024,0,PEN
7738,1/18/2024,0,PEN
7738,1/19/2024,0,PEN
7738,1/20/2024,0,PEN
8128,1/14/2024,0,PEN
8128,1/15/2024,0,PEN
8128,1/16/2024,0,PEN
8128,1/17/2024,0,PEN
8128,1/18/2024,0,PEN
8128,1/19/2024,0,PEN
8128,1/20/2024,0,PEN
8129,1/14/2024,0,PEN
8129,1/15/2024,0,PEN
8129,1/16/2024,0,PEN
8129,1/17/2024,0,PEN
8129,1/18/2024,0,PEN
8129,1/19/2024,0,PEN
8129,1/20/2024,0,PEN
8130,1/14/2024,0,PEN
8130,1/15/2024,0,PEN
8130,1/16/2024,0,PEN
8130,1/17/2024,0,PEN
8130,1/18/2024,0,PEN
8130,1/19/2024,0,PEN
8130,1/20/2024,0,PEN
8131,1/14/2024,0,PEN
8131,1/15/2024,0,PEN
8131,1/16/2024,0,PEN
8131,1/17/2024,0,PEN
8131,1/18/2024,0,PEN
8131,1/19/2024,0,PEN
8131,1/20/2024,0,PEN
8149,1/14/2024,0,PEN
8149,1/15/2024,0,PEN
8149,1/16/2024,0,PEN
8149,1/17/2024,0,PEN
8149,1/18/2024,0,PEN
8149,1/19/2024,0,PEN
8149,1/20/2024,0,PEN
8150,1/14/2024,0,PEN
8150,1/15/2024,0,PEN
8150,1/16/2024,0,PEN
8150,1/17/2024,0,PEN
8150,1/18/2024,0,PEN
8150,1/19/2024,0,PEN
8150,1/20/2024,0,PEN
8151,1/14/2024,0,PEN
8151,1/15/2024,0,PEN
8151,1/16/2024,0,PEN
8151,1/17/2024,0,PEN
8151,1/18/2024,0,PEN
8151,1/19/2024,0,PEN
8151,1/20/2024,0,PEN
8152,1/14/2024,0,PEN
8152,1/15/2024,0,PEN
8152,1/16/2024,0,PEN
8152,1/17/2024,0,PEN
8152,1/18/2024,0,PEN
8152,1/19/2024,0,PEN
8152,1/20/2024,0,PEN
8171,1/14/2024,0,PEN
8171,1/15/2024,0,PEN
8171,1/16/2024,0,PEN
8171,1/17/2024,0,PEN
8171,1/18/2024,0,PEN
8171,1/19/2024,0,PEN
8171,1/20/2024,0,PEN
8172,1/14/2024,0,PEN
8172,1/15/2024,0,PEN
8172,1/16/2024,0,PEN
8172,1/17/2024,0,PEN
8172,1/18/2024,0,PEN
8172,1/19/2024,0,PEN
8172,1/20/2024,0,PEN
8183,1/14/2024,0,PEN
8183,1/15/2024,0,PEN
8183,1/16/2024,0,PEN
8183,1/17/2024,0,PEN
8183,1/18/2024,0,PEN
8183,1/19/2024,0,PEN
8183,1/20/2024,0,PEN
8233,1/14/2024,0,PEN
8233,1/15/2024,0,PEN
8233,1/16/2024,0,PEN
8233,1/17/2024,0,PEN
8233,1/18/2024,0,PEN
8233,1/19/2024,0,PEN
8233,1/20/2024,0,PEN
8252,1/14/2024,0,PEN
8252,1/15/2024,0,PEN
8252,1/16/2024,0,PEN
8252,1/17/2024,0,PEN
8252,1/18/2024,0,PEN
8252,1/19/2024,0,PEN
8252,1/20/2024,0,PEN
8253,1/14/2024,0,PEN
8253,1/15/2024,0,PEN
8253,1/16/2024,0,PEN
